VERMEG  ;V00     ;SODCR001;clé absente de XIDENTIF pr DIST-KEY                         ;00000000000000000000
VERMEG  ;V00     ;SODCR003;clé absente de XSECURIT et XGUARRAT                         ;00000000000000000000
VERMEG  ;V00     ;SODCC012;Nombre enregistrements cible ENDRSMNT                       ;00000000000000035397
VERMEG  ;V00     ;SODCC013;Nombre enregistrements cible ENDRSDAT                       ;00000000000000035397
VERMEG  ;V00     ;SODCC014;Nombre enregistrements cible HOLDER                         ;00000000000000035397
VERMEG  ;V00     ;SODCC015;Nombre enregistrements cible PAYER                          ;00000000000000035397
VERMEG  ;V00     ;SODCC016;Nombre enregistrements cible EXTACCNT                       ;00000000000000032912
VERMEG  ;V00     ;SODCC017;Nombre enregistrements cible LIFEASSU                       ;00000000000000035397
VERMEG  ;V00     ;SODCF039;EXTACCNT ignoré ACCOUNT-HOLDER vide                         ;00000000000000002485
VERMEG  ;V00     ;SODCC018;Nombre enregistrements cible SCHEDFEE                       ;00000000000000340269
VERMEG  ;V00     ;SODCC019;Nombre enregistrements cible SCHEDFEE                       ;00000000000000150267
VERMEG  ;V00     ;SODCF023;lien avenant vers (FI)FEE OK                                ;00000000000000035377
VERMEG  ;V00     ;SODCF025;FEE sans CHEDULE-FEE                                        ;00000000000000190002
VERMEG  ;V00     ;SODCF086;FEE ignoré status # 'INFORCE'                               ;00000000000000169101
VERMEG  ;V00     ;SODCF024;Plusieurs (fi)FEE pour avenant                              ;00000000000000473993
VERMEG  ;V00     ;SODCF095;Clé FP-EP-OID ignorée PC-Light)                             ;00000000000000000000
VERMEG  ;V00     ;SODCA005;Clé FP-EP-OID absente de FIFEE                              ;00000000000000000020
VERMEG  ;V00     ;SODCS010;Nb enr lus dans FINANCIAL OPERATION                         ;00000000000003124176
VERMEG  ;V00     ;SODCR012;Clé XFINOPER-OID absente dans XGLOBOPE                      ;00000000000000000007
VERMEG  ;V00     ;SODCF075;lien vers pilote Investment Service                         ;00000000000000000045
VERMEG  ;V00     ;SODCF076;Investment Service de MIGRATION ignoré                      ;00000000000000000017
VERMEG  ;V00     ;SODCF077;lien vers pilote Coverage Service                           ;00000000000000000653
VERMEG  ;V00     ;SODCF078;Coverage Service de MIGRATION ignoré                        ;00000000000000000464
VERMEG  ;V00     ;SODCF079;lien vers Pilote Coverage                                   ;00000000000000007002
VERMEG  ;V00     ;SODCF080;Coverage de MIGRATION ignoré                                ;00000000000000005475
VERMEG  ;V00     ;SODCF074;Opération non rattachée                                     ;00000000000003116307
VERMEG  ;V00     ;SODCC020;Nombre enregistrements cible FINANCOP                       ;00000000000000001906
VERMEG  ;V00     ;SODCC021;Nombre enregistrements cible FIN-OP-D                       ;00000000000000004311
VERMEG  ;V00     ;SODCF081;lien vers Elem Opé Dét / CLIENT ORDER                       ;00000000000000001906
VERMEG  ;V00     ;SODCF084;pas de Elem Opé Dét / CLIENT ORDER en lien                  ;00000000000000000000
VERMEG  ;V00     ;SODCF082;lien vers Elem Opé Dét / CLIENT INSTRUCTION                 ;00000000000000001672
VERMEG  ;V00     ;SODCF083;Plusieurs CLIENT-INSTRUCTION                                ;00000000000000002639
VERMEG  ;V00     ;SODCF085;pas de Elem Opé Dét / CLIENT INSTRUCTION en lien            ;00000000000000000234
VERMEG  ;V00     ;SODCF041;plusieurs XEPOLICY pour XPOLICY                             ;00000000000004373314
VERMEG  ;V00     ;SODCF040;filtre ENDORSEMENT-TYPE avenant ignoré                      ;00000000000000355298
VERMEG  ;V00     ;SODCR005;REJET : Clé FPP-P-OID absente de XEPOLICY                   ;00000000000000000000
VERMEG  ;V00     ;SODCF042;Clé FP-EP-OID absente de XEPRODUC                           ;00000000000003765915
VERMEG  ;V00     ;SODCF043;plusieurs XEROL2RT-ROLE-TARGET-OID pour FP-EP-OID           ;00000000000000505974
VERMEG  ;V00     ;SODCF044;e.STATUS différent de 3 : avenant ignoré                    ;00000000000000277145
VERMEG  ;V00     ;SODCR006;REJET : FP-EP-OID absent de XEDRDSMT                        ;00000000000000014369
VERMEG  ;V00     ;SODCI013;pilote des COVERAGE                                         ;00000000000004011808
VERMEG  ;V00     ;SODCF035;Plusieurs XECOVRG / l'avenant                               ;00000000000000252308
VERMEG  ;V00     ;SODCI011;Pilote des Coverage-Services                                ;00000000000000856553
